Gene	PrfGL117HostGeneTPM	Prf XMG host Gene TPM
RIMS3	2.56817949665	2.262304
BARX1	0.0	0.472551
ARL5B	5.045633	3.33819250019843
WDHD1	33.018743	30.255762
HSPA12B	0.262502	0.82153
HABP2	0.0	0.0
KCNV1	0.0	0.0
ZDHHC9	7.666263	9.029441
TMPRSS7	0.0329649351439	0.0
OSCAR	0.0	0.119469
AURKA	60.378124	69.90752
NPHP3	1.502627	1.6543642
ARHGEF2	113.179624	102.071826256602
CXorf23	9.62597	7.8656
OR10AG1	0.0140507	0.0192863
CDKN2AIPNL	95.13975	102.024546
ZBTB40	5.412647	4.955299
FZD1	0.0	0.0970964
LHFPL5	0.0	0.0
SEC31B	0.761675	1.37914
TUBE1	10.779165	8.749113
ANKS3	14.4589	10.4052
NUMB	18.3351721	17.4149005697
P2RY12	7.429913	6.732017
CACNA1H	0.0	0.44310626452
TMPRSS9	0.0	0.0293545
BDP1	16.031537	11.25389
TCF19	56.313219	73.42476
SPRR2G	0.0	0.0
CDPF1	27.249065	30.30358
NKTR	109.499617	64.207465
MBD1	23.6486	20.3589
FPGT	9.185796	10.02073235189
NPAS3	0.0	0.0171444
OR9A4	0.15373	0.0
TUBB3	10.4603	15.7393
WDR92	16.357902	16.933
SMARCD3	1.278630011125	0.763503
C1orf35	24.1246	23.0665
OR4D2	0.0263053	0.0363929
TNFRSF17	0.0	0.0
RNASE13	0.0	0.0
WDR36	35.2062	41.4772
HNRNPF	738.226073	812.374728
GPAT2	0.201157	0.317271
MORF4L1	449.456249	417.6036865
LRRC2	0.1330198	0.5983797
SLC38A10	82.99635819	86.84907011
KIAA1456	0.012629	0.058699
YPEL1	6.9899332	6.035358
CXorf57	0.01991587	0.1643617
GCNT1	11.31964	10.716125
RTP4	20.90543	32.1595
TRABD2B	0.0110785	0.0455614
BHLHE22	0.0	0.0
KIAA1109	29.634368	24.1932331
EPHA5	0.2333351	0.107104
TXNL1	44.4933	51.8732
TPSAB1	0.0	0.0
PLEKHM2	24.0013073	14.3598
PIEZO1	17.941421	18.263192
CDC45	45.1522	50.5478
EPS8	0.6409774	1.254189
PPHLN1	25.243550553483	25.99797
ZNF609	8.25229	8.26677
OR7D4	0.0	0.0
EYA3	32.2340680117529	35.033081
MRPL33	212.662203	223.786572
DAZAP2	395.103	368.996
PRDM16	3.840218	2.884919
GUCA1A	0.0964515	0.683091
NCBP1	76.12601	78.7125
ZNF791	0.257825	0.140578
FGF5	0.0	0.0
WWC1	0.0652959	0.47482
TYW3	1.635666	3.072453
KRTAP5-2	0.0	0.0
NDRG2	3.243093	3.736806
SNAPC4	27.442916	21.4161763062
MEN1	21.22805548	31.0014044
C11orf53	0.0	0.0
HSPA5	513.180903	469.16453
FMO1	12.7636	5.7662075
FRG1	98.373453	102.588061
TNKS2	107.574631	80.879978
RALGDS	7.5784672	9.2603280253983
SHISA6	0.0302753	0.0
TIGIT	633.362	590.165
TARDBP	162.397898000114	255.566196
CRIM1	0.857672	1.42834
EARS2	4.966731	6.509934
PRND	0.0	0.0
RNF144B	0.0651628	0.693671
CAPN8	0.0	0.0450241
CDK10	17.575036	12.25559
PPA2	39.9254988	38.4512359
PIGS	65.2685	68.9756
BCAP31	143.62	154.46
FOXH1	0.0609143	0.085108
NAT6	10.39195	9.59106
IL12A	0.435445	0.154939
OR52E2	0.0	0.0
VWA3A	0.1151751	0.105739
KRT71	0.0	0.0
ZNF569	8.8759317	7.009371
ALG10B	23.9616	21.5332
ARL8A	39.48417	37.603755
SLC25A34	0.0847872	0.0780429
PLXNA2	0.06442969	0.1731315
POMGNT2	0.0	0.0443729
H1FNT	0.0	0.0
CALY	0.169291	0.275892
C11orf91	0.0	0.0
SMYD1	17.77699	11.848128
SUPT6H	49.61647	43.56682
STK35	11.22373	11.79907
CRYGA	0.0	0.0
SPTLC3	0.0	0.0
CROT	42.19625	40.14367
PPM1K	5.448964	4.58679
BEST1	0.0735867	0.0509337
ACADS	46.277181	49.126531
SLC22A25	0.0	0.0
SLC22A20	0.0	0.0
GPR62	1.24288	0.645707
MIEN1	90.1234	108.14
MYO7A	2.62758832	1.9882102
PGF	0.0	0.0686767
GPN2	32.296674	35.95147
FGFR4	0.0	0.0
RWDD1	119.335968	120.775846
REXO1	52.310985	38.897100478978
NOL4	0.0271845	0.0
ARRDC3	4.397105	2.622690310135
PLA2G3	0.117867	0.0806595
GPR82	0.0	0.0
OR51A7	0.0	0.0
CPLX3	0.0283695	0.0
DHRS7C	0.0	0.0
TRAPPC4	81.039158	86.387971
SQLE	22.782299	26.78786
KRT78	0.0	0.0
RNF214	19.821132	18.3063308
AK1	0.75992	0.36525200270462
SCLT1	11.809798	9.861004
SH3PXD2A	0.04208010213	0.190427
LDLRAD2	0.0	0.0
ANKRD12	26.574885	17.663324
SLC32A1	0.0	0.0
PDE7B	0.0274566	0.1813029
SUMF2	23.808162	33.1514
RECQL	82.841474	63.448231
IDH3B	143.376152	127.32779
RPAIN	25.635779	26.244594
PLEKHG3	12.685238	10.369584
ENPEP	0.0	0.0
TLCD1	3.56945	5.103524
GRTP1	1.5175121	1.0265399
CAMK2A	0.139845	0.0952703
TGM3	0.197298	0.0246645
PNPLA2	84.5469	88.637638
TOR1AIP1	116.621291	110.34729
C16orf46	0.151372	0.349893
CLEC3B	1.16179	0.467753
RABIF	22.4509	24.1769
GPI	577.029086	592.258197
LYZ	0.0	0.0885458
ABHD14A	22.228594	21.916132
ABCB8	23.387298	23.0756778
SYS1	57.890141	55.999762
OR10S1	0.0381048	0.0
MINOS1	200.08495	195.43218
RPS2	3315.066779	3786.91579
MXRA8	3.145089	1.9217917
GLRX3	109.975484	126.676152
MDH1	279.6351	282.990739
PADI6	0.130307	0.0
SHH	0.0264244	0.0
SLC24A1	0.0	0.0
RPS7	1221.0	1248.18
MS4A13	0.0	0.0
POLA1	17.794697	18.6299521
GNL2	51.505209	46.48086
PPP2R2C	1.7919578	2.0337792
KLHL36	8.144509	7.13407
PTDSS2	12.206859	13.133063
COL17A1	0.0268768	0.0
RBP1	0.199474	0.15751
GJB4	0.0	0.0
SHOX2	0.0	0.5286512
TMTC3	0.5459977	1.138069
EBF2	0.0752419	0.0
DIO3	0.0	0.0
FGF21	0.0	0.0
ARAP2	53.4020807	26.3270375
NR1I2	0.0	0.0
NTNG2	40.62364	36.346294
RP1L1	0.0	0.0
PBXIP1	47.94041	42.66298
DESI2	17.03202	16.474052
MS4A1	0.0492785	0.0407199
SLC45A4	11.4921703	9.75922600078737
ZNF2	1.241419	1.6484861
METTL15	4.076634	3.827597
ASF1B	109.717096	124.37884
DSCC1	15.83783	15.160565
XRCC4	11.948964	9.888068
PCDHGB5	0.129766502	0.118792
MUC5B	0.0	0.0
THEG	0.0	0.0
ZNF503	0.0175939	0.145071
RNF169	7.86586	6.257573
FAM49A	7.42199	8.1589
GABRP	0.0	0.0
CDKN2A	37.35391	58.12971
NSUN3	16.736176	12.452111
KRT12	0.0	0.0577665
PLAC8L1	0.0	0.0
TOMM34	66.20371	57.35943
ZC2HC1C	0.181583	0.113381
CD80	19.2616	29.1636
CALML4	0.0968569	0.0440718
PRIMA1	0.0	0.0
CLIC4	76.6569973	73.0168
PREP	15.0408	18.7261
KCNH8	0.0	0.0
PRMT7	27.345268	22.983093
RAB24	31.4188	23.9058
CNTROB	19.496551	12.118093
CBLN1	0.0457015	0.0
CHRD	0.0	0.0
DCBLD1	0.68182	0.658183
CNOT1	109.2762978	94.76558584931
DNAJB4	9.70048	6.3422445156
SLC10A1	0.525533	0.0
MEF2C	4.77163239	9.99580469853
GHDC	6.225506	4.81476
SGCA	0.0	0.0
COQ7	30.517022	34.5438278
PSMC5	164.32983	167.67831
SESN3	11.0728849	12.412349
MROH5	0.0	0.0
PIGF	15.937	23.317
SRPK3	0.271294	0.0
MCM7	212.401732	232.674641
ZDHHC21	11.14746	14.341358
NUP54	47.562171	39.923916
SOGA3	0.0	0.0
TNR	0.0774242	0.0407471
ISYNA1	61.755378	71.89544
STIM1	43.9256073	41.3509682
HMGN2	544.203527	646.686925
STON2	2.2450853	4.819034
CHRNA1	0.0850913	0.046465
TEX264	36.640902	37.102548
TMEM95	0.354552	0.0
FAM69A	12.89263	20.82554
LMAN2L	6.00249264831	5.255222
SLC14A1	5.7233766	6.313324
MYOM2	0.3168629	0.5117549
MRPL54	133.63887	173.58397
OCM	0.0	0.0
REEP1	0.0	0.0520623
NCAPG	41.725995	41.667533
CLASRP	52.847272	33.258639
FAM25C	0.0	0.0
SLC26A3	0.4091786	0.2300973
CPA2	1.172987	0.65956
ST3GAL2	6.17558	7.472813
ECD	35.3051	38.6427
TREM1	0.442199	0.765196
SLC25A27	1.69229	0.948842
PDE5A	0.347895	0.580805
EXOSC6	0.0	0.0
TDG	113.584631	102.0597671695
FEN1	83.2027	99.1280000224544
TRRAP	39.6613489	32.36195975953
SMURF2	12.710873	14.991897
SULT1E1	0.0	0.0
FAR1	46.84079	52.241439
GPHB5	0.0	0.0
FAM209B	1.50704	0.179926
TMEM204	0.982147	0.695653
PXDC1	0.0756376	0.104747
CHADL	1.5596745	1.364941
VTCN1	0.0	0.0
CAMKMT	6.03111	5.15105
TUBG1	65.241139	78.424415
NBN	11.7093	12.7436
SEC61A1	159.591237	159.50709
RFXAP	41.54311	44.8152
SFMBT1	11.82149	13.0838445
POU4F1	0.380011	0.1518234
RYR1	0.70133252	1.00504358
MANSC1	1.02254	1.10384
SULT2B1	18.639323	19.641053
FHOD3	0.0544558	0.0
MAT1A	0.0	0.0
PTK2	0.450887	0.299495
OR6F1	0.0	0.0
WDR24	16.50355	14.747458
CALR3	0.656328	0.546591
COL6A5	0.0	0.0
BANF2	0.0	0.0
LINGO4	0.143185	0.202742
TRAF1	100.01211	93.52801
SYCE2	37.681055	37.30862
AK8	0.259324	0.0
VSTM2A	0.0	0.0
CFTR	0.0	0.0
KCNT1	0.74114102	0.223294223
LANCL3	3.17737	2.91576
DUSP13	0.0	0.0
DEGS2	1.56631	1.1613
CYP4A22	0.0	0.0
GDF10	0.0	0.0
KNOP1	24.776567	22.121649
ANXA3	0.748397	2.85843
TMEM245	4.64145863	4.935173
KLHL33	0.0	0.0
PATL1	27.3227	26.351
AKAP4	0.0	0.0
CSNK1E	26.482817	26.4978940601
TAF1A	16.12631	12.17863
KDM2A	39.4083756	43.5070832
SLAMF8	0.140681	1.49883
CYP27A1	0.276791	0.716783
SCNN1G	0.0	0.0
CNNM2	2.32844	2.395353
PRKAA1	12.5905	13.868
URGCP	14.74043	13.367156
FBXO22	42.32444	34.51303
MMP2	0.13108	0.0
FLT3LG	91.944643	58.061973
MCAM	0.4443397	1.011165
CYP7B1	0.0	0.0
MICU1	33.3041386010416	38.1288640127
TMCO3	7.754147	8.973904
LSM14B	25.63587	19.063824
ZC3H14	53.60725	54.687157
SLC22A14	0.0	0.0
PSMA2	452.343	438.815
TWIST2	0.0	0.267986
RAB11FIP1	14.3982563	11.67147
WDR4	24.524482	32.191642
LGALSL	16.056725	20.328651
TMC4	4.084832	1.5645589
POP5	115.50484	134.517383
MYL12A	714.42702	751.748493975684
RFX5	13.1959310014226	13.1294120837836
TAF7	4.16567	3.8965
INPP4A	8.10513190296104	5.33148440337679
TRIM26	49.2251130054782	42.227206247
FAM124B	0.421551	0.690227
LRP1	1.193005	3.067668
CAAP1	8.606264	8.592634
DNTTIP2	39.881017	37.7779
STX16	37.711575	32.297238
TFCP2L1	4.878513	2.81223
TMEM170B	6.11356	5.56121
E2F3	21.96784	22.0381
INTS6	10.9629	12.3928
SDC4	0.52788	1.370653
TMEM200C	0.0	0.0
RPL7	2045.1564	2079.366942
RBM45	38.7453	37.4586
ASPHD2	0.112695	0.190386
FAM216B	0.0339933	0.0
OCLN	0.320191	0.1638512
TMEM144	0.2861518	0.214553
DNAL4	9.956984	8.004527
COMMD2	40.55812	39.40796
PIK3C3	27.872361	26.076297
C4orf33	4.3143690105863	4.84438185552
ANKRD29	5.3606046961	6.81011
RCN2	20.095905	24.880966
HOXA10	1.281702	0.989951
MAP3K5	13.941587	10.60921
IQCK	0.6616439	0.135927
TBC1D12	1.46172	0.822976
OBSL1	0.9164892	0.5003854
KCTD18	21.208082	11.570693
SLC16A3	18.698449	35.638846
PDZK1IP1	1.84860137179	5.310197
CHIC2	43.62148	41.56509
TFE3	17.1001160626724	15.4345444485746
MAP1B	0.0306641	0.067133
KCNA2	0.1248224	0.0811097
RBBP8	27.0568	31.5875
RRH	0.1648792	0.0692259
BCL7C	71.723115	90.016317
MRPL42	146.996867	165.130604
APC2	0.266210229005	0.2942152933314
GABRR2	0.904775	1.254881
CXCL11	0.0	0.0
CHRNA10	0.0	0.0
IGSF8	16.782031	15.38381
SUDS3	93.279378	73.574448
ANXA10	0.0	0.0
ROR1	0.0	0.0175019
OR2G6	0.0195425	0.0
RILPL2	174.34391	188.956004
FLNB	36.4709	31.965
DHRS4	29.4009	26.1793
LIMCH1	7.091838826636	2.8319712825816
TMEM177	4.20461	4.18754
NME8	0.0	0.0
AR	3.37024	2.32162
CTDSP1	72.507298	83.16029
ZNF316	1.3838167	1.218106
TNFAIP8L1	13.9454	12.7872
C8orf76	44.710954	45.449813
RPS6KA2	0.531346	0.635632
VAV2	3.176638	3.722153
NMU	0.0	0.0
SFRP2	0.0383022	0.219304
NUP35	27.680862	35.173314
IL17RC	0.0	0.199273
TIMP3	0.13108	1.0574076
FAM78B	3.585794	3.107561
MSC	2.913171	3.712691
TMEM184B	12.76387	16.431500002259
ASIC1	1.06763	1.19645
ZBTB7B	17.9181331	18.719138
NRBP2	4.94943	2.30711
GAS1	0.0	0.0
PIGX	59.754756	62.493807
SERPINF2	0.175097007	0.0
AP1G2	118.337059	82.721931
SAP130	33.5213	29.954
TMEM14A	3.36946	2.78906
FBXL13	0.0597909	0.0
SAMD4A	0.0	0.04451059
LMNB1	331.2281	367.4678
PAM	2.3484228	4.119459
FAM199X	1.09104	1.04848
ATP2C2	0.0	0.0319844
ZNF511	47.54254	35.07362
LENG1	6.28944	8.2
PHYHIPL	0.2376812	0.584173
IMP4	82.88151	99.7517366
WDSUB1	7.364352	5.593904
UTS2B	0.0	0.0
ENTPD2	0.198707	0.2864882
DMRTC2	0.0	0.0
SMCHD1	60.717836	49.55159
SMCO4	24.56932	26.43891
KLF16	21.4175	25.2301
C6orf106	67.264912	63.03096
KDELC1	9.390544	9.36029
SLC15A3	13.661613	12.693659
ADAMTS6	6.53846	3.70042
CD28	42.264261	47.866105
MAGEB1	0.0	0.0
RNF180	0.134624	0.0623128
LAMP2	31.277403	42.8759454
PCNT	33.857686	23.020446
SCYL3	33.41194	23.6493
MEAF6	58.911793	60.668324
MXD3	40.08189	53.75776
GALNT18	3.14033	1.52786
SPHK1	0.0777794	1.29376
IRF1	239.9434	200.48134
UBE2O	11.72202	13.527832
HOXB7	0.0	0.0
TSSC1	31.0782	34.7546
GRID2IP	0.0215733	0.0
CYP2J2	0.0	0.0
STX1B	0.140587	0.0726908
APH1A	74.55319	78.67321
HYI	16.45311	9.98339
ZFAND6	78.85357	82.79832
GABBR2	0.0127903	0.0175448
RASGEF1C	0.432666	0.1496946
STARD3	23.851894	23.7286777
HEXB	46.4483	57.2229
PCDHGA1	0.0287557	0.0
R3HDM2	55.640951	36.075824775
GPR75	0.051358	0.0
CHRND	0.0	0.0
NR1H3	0.5691179	0.869722
HMGB1	584.7341215262	627.287244
ANKRD44	131.421863	126.186633
C2orf54	0.0369066	0.0
CCL20	0.0	0.0
AVL9	10.7273291	9.1832106
MROH2B	0.0	0.0
CTNNBL1	43.39965	44.815604
WI2-2373I1.2	0.0	0.0
HPS5	23.59346864	17.480972
DNAJC24	23.029491	28.830105
ENPP4	5.32079	6.89142
OXSR1	153.25208	150.76173
COX20	73.0927	86.34278
TTC14	23.601533	18.323301
TXNDC2	0.0	0.0
LRRC9	3.093209	1.6458646
RDH14	8.38822	10.2055
ALKBH8	12.559883	8.038611
ERBB3	3.22312	2.57854
CHMP4C	0.286126	0.1628258
C16orf62	51.4795352	47.4519983
ZNF91	26.8916	21.0179
OR9K2	0.036186	0.192482
DKC1	97.13870957	84.988952
TMEM42	9.290423	8.4721
IL17RE	0.0792776	0.109186
HGSNAT	55.81	39.26406
TMEM200A	0.0944081	0.225675
HIST1H1D	1.82509	1.89939
BRDT	0.548366	0.346779
ANKRD13A	133.533205794	127.391234
PRTG	0.0	0.0
KCNAB2	194.714826	215.491487
APOA5	0.0300956	0.0909239
UNC80	0.067401	0.2612804
CENPJ	8.21403	7.60138
P4HB	251.9854	280.2318
C1orf158	0.0	0.0
YIPF3	92.02563	87.52696
DNM2	145.773805275316	122.687763
OTX1	0.1113906	0.484087
ABLIM2	3.5204827865	3.7018043
GABARAPL1	35.490468	37.32322
IL6	0.2041458	0.196876
TMEM68	10.256127	12.56201
ITSN1	2.673164	2.9546401
GPR135	0.115194	0.160741
NFIC	20.62528	18.857422
UFSP2	25.428824	28.106309
RCSD1	101.389707	124.133116
THRA	1.633795	2.593984
IFT43	1.88198	1.10373
CERS4	23.0225001	32.1768870339815
SGPP2	0.862435	0.795647
ZNF764	6.383875	6.00853
CDCA4	70.5481	73.0949
PTPRQ	0.0	0.0
DNAJC9	177.406	197.941
PCSK2	0.203796	0.099631
IGFBP1	0.0	0.0
ZNF208	1.0035	0.986089
HOXB9	0.0	0.0
COX17	344.13208	383.97903
BCKDK	56.247	60.80678
IBTK	16.3415528	20.7634848
NSL1	15.94571	10.86897
MTCH2	84.3982544	95.3132022
WFDC3	0.0481493	0.066944
BSX	0.0	0.0
ERC1	3.5940103	4.5688036
SLC22A4	0.0336435	0.850914
SYCE1L	0.0	0.1748
TMEM241	11.401969	8.53378700047994
ZNF48	7.624916	10.45548
PCDHB8	0.0	0.0
TMEM125	0.0	0.0
DNAJB8	0.135782	0.0
FMNL2	0.430873	0.835574
KNTC1	16.840851	18.524341
IL21R	99.77312	132.9154
FNDC3A	13.747971	9.9896068
RRAD	6.14326	7.14759
NT5C3B	100.132256	107.0182503
MED21	20.583669	28.343257
HIVEP1	15.296	11.4382
PLA2G10	0.171511	0.0
OR52A1	0.0	0.0
CCDC93	14.807005	13.368229
CNN2	491.347	572.066
WDR76	26.23051	24.9323
KRCC1	48.492988	55.43811
GFRA4	0.0	0.0
RNF2	48.524184	55.002968
APMAP	36.98642	39.126697
PTN	0.0	0.0
LRFN3	0.0	0.0718315
CRELD1	3.43492	2.890685
SYN3	0.056176	0.0
GNPDA1	48.86157	50.242411
SCN8A	0.4804945119721	0.3326583325
KISS1	0.0	0.0
GCN1	38.6601078	34.431724
NUAK2	0.314218	1.368478
TREML2	1.68981	4.39446
PRX	1.1917202	1.19769
MYO15A	0.0999023	0.0586236
C2orf49	8.11399	9.38548
ZNF444	17.198342	21.115773
TSPAN6	3.572611	4.20093
ITGA10	0.27780526	0.1407308
EDEM2	42.191439	44.92051
SMTNL2	0.173191	0.161342
PPIH	96.42353	106.75151
RPS3	2006.40668	1908.19659
IL36RN	0.0	0.0
PLCB4	0.2487487	0.702005
MPTX1	0.0	0.0
MLH1	40.107527	20.76837
NYX	0.0995371	0.0
GAN	6.29048	5.55117
SHD	0.404135	0.281198
SLC2A5	0.0	0.444566
MLX	77.02883	79.5817
LAMTOR5	107.696649	104.72766
MPP5	4.3303	1.5062671
HSPH1	58.421449	68.824162
DYRK3	2.79923	2.378673
ZNF212	13.6006	11.6024
WDFY2	4.19537	5.01834
SYT8	0.378198	0.0
WNT9A	0.0450428	0.0
MYO1H	0.716796	0.620461305285
CASTOR1	15.6878	14.5723
NKX2-5	0.0	0.0
UNC13D	119.67672	111.3300884038
OSGEPL1	6.195346	7.323898
MKX	0.0	0.0321941
TSR1	46.121162	43.385616
FAM46B	0.0	0.0
TRO	0.0423883	0.13346222245
LMO1	2.25234	2.215873
RAB3D	8.064718171655	9.02602
CD177	3.75057	25.432589
IFT122	1.488038	1.77114050573286
DYNLT3	14.271353	24.20608
CDK5RAP1	11.663129	12.31055
FN3K	0.234098	0.329246
HPSE2	0.0	0.0
GUK1	60.169909	62.43368
KIF2C	53.359612	58.182964
OR5D14	0.0	0.0
PEX1	13.412884	10.2982078
TMEM55B	25.611057	21.0233181
MMAA	3.396293	2.94572
HECTD4	7.454763	6.83648
IRX3	0.0578898	0.394098
GTF2IRD1	12.01847905	12.8251832625037
PARVG	118.658788	121.45382
LRRC58	5.92586	5.51212
AADACL3	0.0	0.0
PHKA2	13.821501	9.393858
TRIM39	23.267537	12.31194
BORA	24.8699	24.7338
PPP1R15B	60.49511	58.36105
LHX2	0.6403029	0.5401468
UBE2G2	83.63346	84.2625
NOS2	0.0	0.0299637
LYAR	88.291961	90.740719
KMT2D	24.806479	17.499669
DDAH1	0.0	0.205962
NUDT9	44.767472	43.98681
C9orf72	1.796955	0.872538
PACSIN1	23.19115	23.7415
DPP7	14.361218	5.36058
DGKQ	8.915591	5.950668
BAALC	0.141111	0.0
VOPP1	36.8296171	27.2834923
PTP4A1	95.329839	63.31922
FAM212B	1.475293	2.061802
ANGEL2	35.709382	34.15123546
EIF2B5	47.14322	47.0248709359
OR51E2	0.0	0.0
SELE	0.077424	0.0355774
CHST5	0.0	0.0
HIBCH	18.513278	21.796136
MYH15	0.0	0.0
RRP7A	86.13321	84.821741
LRP10	130.719	125.907
CD40	0.155341	0.2500201
KLHL15	9.7648371	7.1038136
RBM28	58.18417	44.71358
SBK3	0.0	0.0
VLDLR	0.022990234	0.9475763
CYP3A5	0.0	0.0
HDAC10	5.034337	6.344433
ZSWIM4	9.46191	7.74878
PTGFRN	1.345125	2.10032
BNC1	0.0	0.0
NUDT12	0.582132000756829	0.285483
PDE1C	0.4429087	0.4934738
LURAP1	1.02656	0.960309
ACSL1	7.10123	7.07965
EBI3	1.65227	3.66634
WEE2	0.0	0.0
PTCD2	33.8324	37.0126
ALDH4A1	4.644609	6.301625
AHSA2	65.76773	46.507816
C6orf89	106.993023	97.2267
CCDC22	11.34796	13.223436
ALKAL1	0.0	0.0
KCNC2	0.0	0.0
SLC7A4	0.0807321	0.4425623
PAPOLG	10.49088	9.84294
PPP1CC	305.1835	328.32474
DYDC2	0.0	0.0
UBFD1	21.159435	25.8439892
NRBF2	28.2174	24.22479
NUDT4	38.0497	42.9631
PPL	0.0	0.0
ZC3H12C	2.99276	1.953532
CNTF	2.45181	0.916226
PKD1L2	0.544892	0.4114015
HAND1	0.0	0.0
CXorf65	18.91261	5.93362
AP2B1	60.556905	69.896868
B3GALT5	1.223137	0.609368
FBXO36	2.03986	2.62313
P4HTM	5.997045	6.7969963
KRTAP24-1	0.0	0.0
TTBK1	0.242053	0.490418
PCED1B	44.9347	39.3563
KREMEN2	7.90359	7.44958
GNGT1	0.283653	0.381201
SMIM13	2.25434	2.61865
HDX	0.007766770137854	0.0
ATP5O	354.304187	356.606405
PRKCA	43.04571	46.50952
ARMCX6	0.5303	0.996696
AOAH	0.696136	1.95482
ZBBX	0.0	0.0
ZYX	324.966511	359.189322
KCNE5	0.0	0.0
NKD2	0.2702375	0.44898
OR52H1	2.56028	1.73262
CASD1	7.53248	12.26102
KIF5C	2.562618	1.8727880233166
FHDC1	0.285059	0.924152
RGS8	18.495515	11.96634
SAT2	0.0812247	0.0
NR2C1	3.96074	2.69336
KCNN2	0.0639086	0.473228
GNB3	0.157488	0.0
HNRNPUL1	211.8316706	188.629314
INO80C	50.14892	46.303062
KLHL4	0.062706224	0.086282798
TBCC	16.2027	21.8374
ITM2C	95.64372	105.74326
TDRD12	0.0	0.0
RREB1	4.38961707	2.463813063
MMD2	0.0225619	0.0
DYNAP	0.0	0.0
ABCC12	0.0	0.0
IER3	15.1611	19.5639
EFNA4	0.536831	0.882305
SMAD3	17.092375	16.26186
CYBA	357.22862	493.1605
DDC	0.5949276	0.2419449
GAL	0.0	0.175425
LRRC45	17.89798	11.467216
LPL	1.132108	1.779498
VIPAS39	24.7905112	26.3492
GPT	2.70194	3.19764
LUM	0.0309638	0.0
NAA16	16.637441	15.8745127
SLC39A14	38.1466800959739	20.138862
ASB8	29.43226	31.95204
SCHIP1	0.0386205	0.320744
MAML2	7.187974	6.56011
FAM129B	6.131677	7.88388
MTFMT	23.19117	21.107686
ANK3	4.04085762835281	2.81599732777455
NTN5	0.0	0.0
ANGPTL7	0.046927	0.117762
GNG12	1.772057	4.946607345
KRTAP26-1	0.0	0.0
ZNF652	10.968258	9.6529044
TFAP2C	0.0	0.0
FBXW9	5.057402	3.899824
MEGF9	1.960722	3.226423
HRC	0.0629776	0.0434692
GYPA	0.29224	1.56337
TNFRSF1A	24.243267	26.204436
ZC3H10	12.634573	15.200299
TIA1	57.5205830380559	43.168617342
OR52N2	0.0	0.0
SAP30	17.5586	21.2521
BFSP1	0.353466	0.097808
C17orf50	17.54309	16.88546
RASSF9	0.0	0.0946611
CTTN	0.490176	1.31589
KCNK9	0.0	0.0
LSM4	224.34056	218.82876
ESR2	0.417572	0.0779852
ANAPC7	43.168927	42.192336
C6orf201	0.0	0.0
EDC3	21.967784	21.413563
NDUFV2	162.82591	162.14497
KRTAP4-16	0.0	0.0
PYCR3	35.2079	43.6685
ARHGAP8	0.582227	0.0
LHFP	0.0	0.0334816
GORASP1	1.863724	1.66627
DDX17	89.9039	72.2186
FUK	3.5548039	2.98352
KCNH7	0.0276961	0.0534155
FAM196B	0.0293204	0.0
ZNF827	4.3337104	2.9484994
TPP2	39.5584952	43.9648494
KIAA1143	7.1895	9.986307
RINT1	16.336413	12.85919
WNT1	0.0	0.0
GSTP1	266.394	274.924
KLHDC8A	0.0173561	0.0
TMEFF2	0.3037053	0.0382676
TRAF3IP2	43.8448	31.040531
CD86	8.745599	9.339801
C17orf107	1.2579	0.0
ANAPC1	81.3141922	71.5770291
OSGIN1	1.213318	1.716634
ZSCAN20	4.0872244	3.0031132
UBL4B	0.0	0.0
ITGA7	1.824923	2.3332077
OTUD1	2.52423	1.61214
PPP1R8	96.98962	100.426244
GPRIN2	0.194947	0.0677759
LRRTM3	0.0	0.0
KIAA0930	1.532906	3.911927
SLC30A6	9.63323	10.2413
CATSPER1	0.0	0.0
ANKRD54	33.110928	37.339328
PID1	0.2507233	0.4349812063037
PIH1D3	0.0	0.0
MYO3A	0.0	0.0
BSPRY	61.35481	56.65754
RNF32	0.6984247	0.308551
VCL	6.85447	8.19435
UCP2	871.403389	888.09053
TRIM7	0.8930351	0.5985114813
KPNA4	38.16946	45.391781
PCDHGA4	0.147459	0.0389912
LRRK1	49.370799	45.3108781
ANKH	12.2612	13.5871
ENC1	2.46131	2.86648
LAPTM4A	38.6293	46.1638
PSMC1	220.302	226.83
NFE2L2	11.1249	15.302688
DRAXIN	0.0141834	0.0
PDE3A	0.0178449	0.00821962
UPB1	1.778696	1.125509
TOX3	0.0	0.0
C2orf69	6.2831	5.72702
SLC11A2	8.494397	11.945089
UBOX5	5.70076	7.30192
HMG20B	44.634154	51.101308
DPF2	84.391108	82.55578
ZNF274	23.177823	20.993752
BCAR1	0.5090225758	0.55839820632
AHCYL2	20.452716245371	13.5851278113976
FBXO31	18.070576	18.700125
DUS4L	8.35925	5.75533
CKMT2	0.0	0.0
CD93	1.49511	1.41949
RND1	1.259688	1.244649
CDH7	0.0	0.0
HIST1H4F	2.66737	4.23589
OR2Y1	2.15417	1.0569047
HIST1H3H	5.21222	18.3904
TATDN1	6.55042	10.8406
TLE2	0.8691949681	0.6132854
USP20	26.447002	23.7339697
MYRFL	0.0	0.0
NOVA1	0.0308145	0.0140575
ADAMTS10	49.1558490050263	31.7603078611199
NSG1	0.3528121	0.0528618
CEP57L1	9.411912	8.791229
TNFAIP1	12.80885	11.32251
TRIM56	18.83421	13.27132
CTPS1	40.057673	40.48109
SLC38A1	48.62122	50.98083
